title,rating,price
"<div class=""KzDlHZ"">ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Intel Core i3 13th Gen 1315U - (8 GB/512 GB SS...</div>",4.3,"₹38,990"
"<div class=""KzDlHZ"">CHUWI Intel Core i3 10th Gen 10100Y - (8 GB/256 GB SSD/Windows 11 Home) CoreBook X Grey Laptop</div>",4.1,"₹19,990"
"<div class=""KzDlHZ"">Acer Aspire 3 Intel Celeron Dual Core - (8 GB/128 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...</div>",3.8,"₹15,990"
"<div class=""KzDlHZ"">Acer Aspire Lite AMD Ryzen 3 Quad Core 5300U - (16 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Lig...</div>",4.2,"₹29,990"
"<div class=""KzDlHZ"">Acer 3 Years Warranty Aspire 3 (2025) Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home...</div>",4.5,"₹33,990"
"<div class=""KzDlHZ"">Infinix GT Book Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA...</div>",4.3,"₹75,999"
"<div class=""KzDlHZ"">Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) A325-45 Thin and Light...</div>",3.9,"₹23,759"
"<div class=""KzDlHZ"">Apple MacBook AIR M2 - (16 GB/256 GB SSD/macOS Sequoia) MC7W4HN/A</div>",4.6,"₹64,990"
"<div class=""KzDlHZ"">Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...</div>",3.8,"₹17,990"
"<div class=""KzDlHZ"">Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light ...</div>",4.2,"₹27,990"
"<div class=""KzDlHZ"">ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ131WS | ...</div>",4.3,"₹31,990"
"<div class=""KzDlHZ"">ASUS Vivobook 15 (2025) (i5 14th Gen) with MSO 2024 + M365 Basic*, Backlit Keyboard, Intel Core 5 120U...</div>",4.3,"₹53,990"
"<div class=""KzDlHZ"">HP 255 G10 AMD Athlon Dual Core 7120U - (8 GB/256 GB SSD/Windows 11 Home) 255 G10 Thin and Light Lapto...</div>",4.2,"₹25,490"
"<div class=""KzDlHZ"">Acer Aspire AMD Ryzen 5 Hexa Core 7430U - (16 GB/1 TB SSD/Windows 11 Home) AS15-42 Thin and Light Lapt...</div>",4.1,"₹39,990"
"<div class=""KzDlHZ"">Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-...</div>",4.4,"₹53,990"
"<div class=""KzDlHZ"">Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA G...</div>",4.3,"₹52,990"
"<div class=""KzDlHZ"">ASUS Vivobook 14 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i3 13th Gen 1315U...</div>",4.3,"₹39,990"
"<div class=""KzDlHZ"">ASUS Vivobook 16X (2025) for Creator with Office 2024 + M365 Basic, Intel Core i5 13th Gen 13420H - (1...</div>",4.2,"₹70,990"
"<div class=""KzDlHZ"">HP Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) 14s-dq3149TU / 14s-dq3141TU Thin ...</div>",3.8,"₹23,990"
"<div class=""KzDlHZ"">Acer Aspire 3 (2025) Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) Aspire 3 A325-5...</div>",4.3,"₹41,850"
"<div class=""KzDlHZ"">ASUS Vivobook S14 Flip (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i5 13th Gen...</div>",4.5,"₹66,990"
"<div class=""KzDlHZ"">ASUS Vivobook 15 (2025) with Touchscreen &amp; Backlit Keyboard, Intel Core i3 13th Gen 1315U - (8 GB/512 ...</div>",3.9,"₹42,990"
"<div class=""KzDlHZ"">Acer Aspire 7 Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA G...</div>",4.3,"₹64,999"
"<div class=""KzDlHZ"">Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...</div>",3.8,"₹17,990"
