Year,Period,Geo_Level,State_ANSI,Commodity_ID,Domain,Value
2023,APR,STATE,6,6,TOTAL,208807000
2023,APR,STATE,16,6,TOTAL,86452000
2023,APR,STATE,17,6,TOTAL,5068000
2023,APR,STATE,19,6,TOTAL,31512000
2023,APR,STATE,27,6,TOTAL,69728000
2023,APR,STATE,34,6,TOTAL,4889000
2023,APR,STATE,35,6,TOTAL,79038000
2023,APR,STATE,36,6,TOTAL,66256000
2023,APR,STATE,39,6,TOTAL,20510000
2023,APR,STATE,,6,TOTAL,215206000
2023,APR,STATE,42,6,TOTAL,39420000
2023,APR,STATE,46,6,TOTAL,43253000
2023,APR,STATE,50,6,TOTAL,11279000
2023,APR,STATE,55,6,TOTAL,289699000
2023,FEB,STATE,6,6,TOTAL,201881000
2023,FEB,STATE,16,6,TOTAL,72363000
2023,FEB,STATE,17,6,TOTAL,4865000
2023,FEB,STATE,19,6,TOTAL,31219000
2023,FEB,STATE,27,6,TOTAL,65560000
2023,FEB,STATE,34,6,TOTAL,4390000
2023,FEB,STATE,35,6,TOTAL,74094000
2023,FEB,STATE,36,6,TOTAL,66098000
2023,FEB,STATE,39,6,TOTAL,19828000
2023,FEB,STATE,,6,TOTAL,196281000
2023,FEB,STATE,42,6,TOTAL,38358000
2023,FEB,STATE,46,6,TOTAL,42132000
2023,FEB,STATE,50,6,TOTAL,10819000
2023,FEB,STATE,55,6,TOTAL,272374000
2023,JAN,STATE,6,6,TOTAL,203976000
2023,JAN,STATE,16,6,TOTAL,89502000
2023,JAN,STATE,17,6,TOTAL,5505000
2023,JAN,STATE,19,6,TOTAL,32903000
2023,JAN,STATE,27,6,TOTAL,70870000
2023,JAN,STATE,34,6,TOTAL,5717000
2023,JAN,STATE,35,6,TOTAL,95543000
2023,JAN,STATE,36,6,TOTAL,71829000
2023,JAN,STATE,39,6,TOTAL,22913000
2023,JAN,STATE,,6,TOTAL,259418000
2023,JAN,STATE,42,6,TOTAL,38038000
2023,JAN,STATE,50,6,TOTAL,12741000
2023,JAN,STATE,55,6,TOTAL,296382000
2023,MAR,STATE,6,6,TOTAL,219163000
2023,MAR,STATE,16,6,TOTAL,91789000
2023,MAR,STATE,17,6,TOTAL,5165000
2023,MAR,STATE,19,6,TOTAL,34124000
2023,MAR,STATE,27,6,TOTAL,71875000
2023,MAR,STATE,34,6,TOTAL,5723000
2023,MAR,STATE,35,6,TOTAL,83065000
2023,MAR,STATE,36,6,TOTAL,75343000
2023,MAR,STATE,39,6,TOTAL,22037000
2023,MAR,STATE,,6,TOTAL,221694000
2023,MAR,STATE,42,6,TOTAL,42074000
2023,MAR,STATE,46,6,TOTAL,45897000
2023,MAR,STATE,50,6,TOTAL,11015000
2023,MAR,STATE,55,6,TOTAL,302954000
2022,APR,STATE,6,6,TOTAL,205382000
2022,APR,STATE,16,6,TOTAL,86418000
2022,APR,STATE,17,6,TOTAL,5913000
2022,APR,STATE,19,6,TOTAL,31635000
2022,APR,STATE,27,6,TOTAL,68704000
2022,APR,STATE,34,6,TOTAL,4407000
2022,APR,STATE,35,6,TOTAL,78891000
2022,APR,STATE,36,6,TOTAL,67255000
2022,APR,STATE,39,6,TOTAL,22686000
2022,APR,STATE,,6,TOTAL,209955000
2022,APR,STATE,42,6,TOTAL,38448000
2022,APR,STATE,46,6,TOTAL,45528000
2022,APR,STATE,50,6,TOTAL,12681000
2022,APR,STATE,55,6,TOTAL,295534000
2022,AUG,STATE,6,6,TOTAL,206755000
2022,AUG,STATE,16,6,TOTAL,73689000
2022,AUG,STATE,17,6,TOTAL,5316000
2022,AUG,STATE,19,6,TOTAL,32270000
