Year,Period,Geo_Level,State_ANSI,Commodity_ID,Quantity
2016,YEAR,STATE,15,1,5400000
2015,YEAR,STATE,15,1,6600000
2014,YEAR,STATE,15,1,7500000
2013,YEAR,STATE,15,1,8400000
2012,YEAR,STATE,15,1,7000000
2011,YEAR,STATE,15,1,7600000
2010,YEAR,STATE,15,1,8800000
2009,YEAR,STATE,15,1,8700000
2008,YEAR,STATE,15,1,8700000
2007,YEAR,STATE,15,1,7500000
2006,YEAR,STATE,15,1,7400000
2005,YEAR,STATE,15,1,8200000
2004,YEAR,STATE,15,1,5600000
2003,YEAR,STATE,15,1,8300000
2002,YEAR,STATE,15,1,7500000
2001,YEAR,STATE,15,1,8000000
2000,YEAR,STATE,15,1,8700000
1999,YEAR,STATE,15,1,10000000
1998,YEAR,STATE,15,1,9500000
1997,YEAR,STATE,15,1,9400000
1996,YEAR,STATE,15,1,6400000
1995,YEAR,STATE,15,1,5400000
1994,YEAR,STATE,15,1,4300000
1993,YEAR,STATE,15,1,2900000
1992,YEAR,STATE,15,1,2400000
1991,YEAR,STATE,15,1,2800000
1990,YEAR,STATE,15,1,2800000
1989,YEAR,STATE,15,1,3200000
1988,YEAR,STATE,15,1,2000000
1987,YEAR,STATE,15,1,1800000
1986,YEAR,STATE,15,1,3000000
1985,YEAR,STATE,15,1,1850000
1984,YEAR,STATE,15,1,1750000
1983,YEAR,STATE,15,1,2800000
1982,YEAR,STATE,15,1,990000
1981,YEAR,STATE,15,1,2210000
1980,YEAR,STATE,15,1,1440000
1979,YEAR,STATE,15,1,2190000
1978,YEAR,STATE,15,1,1680000
1977,YEAR,STATE,15,1,2270000
1976,YEAR,STATE,15,1,2120000
1975,YEAR,STATE,15,1,1860000
1974,YEAR,STATE,15,1,1540000
1973,YEAR,STATE,15,1,3040000
1972,YEAR,STATE,15,1,3640000
1971,YEAR,STATE,15,1,2930000
1970,YEAR,STATE,15,1,4300000
1969,YEAR,STATE,15,1,4130000
1968,YEAR,STATE,15,1,5700000
1967,YEAR,STATE,15,1,5440000
1966,YEAR,STATE,15,1,8040000
1965,YEAR,STATE,15,1,7500000
1964,YEAR,STATE,15,1,9947000
1963,YEAR,STATE,15,1,6651000
1962,YEAR,STATE,15,1,13392000
1961,YEAR,STATE,15,1,8432000
1960,YEAR,STATE,15,1,13272000
1959,YEAR,STATE,15,1,12999000
1958,YEAR,STATE,15,1,10634000
1957,YEAR,STATE,15,1,18496000
1956,YEAR,STATE,15,1,11136000
1955,YEAR,STATE,15,1,10872000
1954,YEAR,STATE,15,1,12425000
1953,YEAR,STATE,15,1,10330000
1952,YEAR,STATE,15,1,10288000
1951,YEAR,STATE,15,1,9625000
1950,YEAR,STATE,15,1,9375000
1949,YEAR,STATE,15,1,5375000
1948,YEAR,STATE,15,1,7375000
1947,YEAR,STATE,15,1,8738000
1946,YEAR,STATE,15,1,8625000
