Year,Period,Geo_Level,State_ANSI,Commodity_ID,Quantity
2023,APR,STATE,1,7,"22,41,00,000"
2023,APR,STATE,5,7,"31,90,00,000"
2023,APR,STATE,6,7,"27,13,00,000"
2023,APR,STATE,8,7,"5,22,00,000"
2023,APR,STATE,13,7,"43,78,00,000"
2023,APR,STATE,17,7,"16,25,00,000"
2023,APR,STATE,18,7,"89,13,00,000"
2023,APR,STATE,19,7,"1,14,90,00,000"
2023,APR,STATE,21,7,"12,24,00,000"
2023,APR,STATE,24,7,"5,45,00,000"
2023,APR,STATE,26,7,"42,19,00,000"
2023,APR,STATE,27,7,"19,22,00,000"
2023,APR,STATE,28,7,"11,43,00,000"
2023,APR,STATE,29,7,"33,23,00,000"
2023,APR,STATE,31,7,"18,14,00,000"
2023,APR,STATE,36,7,"14,45,00,000"
2023,APR,STATE,37,7,"34,10,00,000"
2023,APR,STATE,39,7,"94,19,00,000"
2023,APR,STATE,40,7,"4,58,00,000"
2023,APR,STATE,41,7,"5,80,00,000"
2023,APR,STATE,,7,"74,73,00,000"
2023,APR,STATE,42,7,"63,55,00,000"
2023,APR,STATE,45,7,"8,09,00,000"
2023,APR,STATE,46,7,"3,09,00,000"
2023,APR,STATE,48,7,"52,82,00,000"
2023,APR,STATE,49,7,"15,08,00,000"
2023,APR,STATE,51,7,"6,28,00,000"
2023,APR,STATE,53,7,"14,23,00,000"
2023,APR,STATE,55,7,"19,49,00,000"
2023,FEB,STATE,1,7,"20,25,00,000"
2023,FEB,STATE,5,7,"29,89,00,000"
2023,FEB,STATE,6,7,"25,51,00,000"
2023,FEB,STATE,8,7,"3,96,00,000"
2023,FEB,STATE,13,7,"41,26,00,000"
2023,FEB,STATE,17,7,"14,85,00,000"
2023,FEB,STATE,18,7,"83,76,00,000"
2023,FEB,STATE,19,7,"99,75,00,000"
2023,FEB,STATE,21,7,"11,70,00,000"
2023,FEB,STATE,24,7,"5,18,00,000"
2023,FEB,STATE,26,7,"37,99,00,000"
2023,FEB,STATE,27,7,"18,43,00,000"
2023,FEB,STATE,28,7,"10,48,00,000"
2023,FEB,STATE,29,7,"31,26,00,000"
2023,FEB,STATE,31,7,"14,18,00,000"
2023,FEB,STATE,36,7,"13,49,00,000"
2023,FEB,STATE,37,7,"32,11,00,000"
2023,FEB,STATE,39,7,"84,27,00,000"
2023,FEB,STATE,40,7,"4,26,00,000"
2023,FEB,STATE,41,7,"5,11,00,000"
2023,FEB,STATE,,7,"68,91,00,000"
2023,FEB,STATE,42,7,"59,32,00,000"
2023,FEB,STATE,45,7,"8,22,00,000"
2023,FEB,STATE,46,7,"2,74,00,000"
2023,FEB,STATE,48,7,"48,83,00,000"
2023,FEB,STATE,49,7,"13,70,00,000"
2023,FEB,STATE,51,7,"5,90,00,000"
2023,FEB,STATE,53,7,"13,50,00,000"
2023,FEB,STATE,55,7,"13,91,00,000"
2023,JAN,STATE,1,7,"21,83,00,000"
2023,JAN,STATE,5,7,"33,59,00,000"
2023,JAN,STATE,6,7,"27,72,00,000"
2023,JAN,STATE,8,7,"4,41,00,000"
2023,JAN,STATE,13,7,"45,63,00,000"
2023,JAN,STATE,17,7,"16,24,00,000"
2023,JAN,STATE,18,7,"93,03,00,000"
2023,JAN,STATE,19,7,"1,05,68,00,000"
2023,JAN,STATE,21,7,"12,82,00,000"
2023,JAN,STATE,24,7,"5,85,00,000"
2023,JAN,STATE,26,7,"41,89,00,000"
