Year,Period,Geo_Level,State_ANSI,Commodity_ID,Domain,Quantity
2023,APR,STATE,4,5,TOTAL,"42,80,00,000"
2023,APR,STATE,6,5,TOTAL,"3,54,30,00,000"
2023,APR,STATE,8,5,TOTAL,"44,40,00,000"
2023,APR,STATE,12,5,TOTAL,"16,60,00,000"
2023,APR,STATE,13,5,TOTAL,"18,00,00,000"
2023,APR,STATE,16,5,TOTAL,"1,40,80,00,000"
2023,APR,STATE,17,5,TOTAL,"14,70,00,000"
2023,APR,STATE,18,5,TOTAL,"38,00,00,000"
2023,APR,STATE,19,5,TOTAL,"49,40,00,000"
2023,APR,STATE,20,5,TOTAL,"36,00,00,000"
2023,APR,STATE,26,5,TOTAL,"1,00,30,00,000"
2023,APR,STATE,27,5,TOTAL,"88,30,00,000"
2023,APR,STATE,35,5,TOTAL,"60,20,00,000"
2023,APR,STATE,36,5,TOTAL,"1,34,20,00,000"
2023,APR,STATE,39,5,TOTAL,"47,30,00,000"
2023,APR,STATE,41,5,TOTAL,"22,10,00,000"
2023,APR,STATE,42,5,TOTAL,"85,50,00,000"
2023,APR,STATE,46,5,TOTAL,"35,80,00,000"
2023,APR,STATE,48,5,TOTAL,"1,41,30,00,000"
2023,APR,STATE,49,5,TOTAL,"17,80,00,000"
2023,APR,STATE,50,5,TOTAL,"21,50,00,000"
2023,APR,STATE,51,5,TOTAL,"12,10,00,000"
2023,APR,STATE,53,5,TOTAL,"53,10,00,000"
2023,APR,STATE,55,5,TOTAL,"2,65,60,00,000"
2023,FEB,STATE,4,5,TOTAL,"38,80,00,000"
2023,FEB,STATE,6,5,TOTAL,"3,27,40,00,000"
2023,FEB,STATE,8,5,TOTAL,"40,10,00,000"
2023,FEB,STATE,12,5,TOTAL,"15,60,00,000"
2023,FEB,STATE,13,5,TOTAL,"16,90,00,000"
2023,FEB,STATE,16,5,TOTAL,"1,29,30,00,000"
2023,FEB,STATE,17,5,TOTAL,"13,50,00,000"
2023,FEB,STATE,18,5,TOTAL,"34,90,00,000"
