track_id,track_name,artist_name,artist_count,realeased_date,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts
11,Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,14-07-2023,553,147,141381703,43,263
12,LALA,Myke Towers,1,23-03-2023,1474,48,133716286,48,126
13,vampire,Olivia Rodrigo,1,30-06-2023,1397,113,140003974,94,207
14,Cruel Summer,Taylor Swift,1,23-08-2019,7858,100,800840817,116,207
15,WHERE SHE GOES,Bad Bunny,1,18-05-2023,3133,50,303236322,84,133
16,Sprinter,"Dave, Central Cee",2,01-06-2023,2186,91,183706234,67,213
17,Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,16-03-2023,3090,50,725980112,34,222
18,Columbia,Quevedo,1,07-07-2023,714,43,58149378,25,89
19,fukumean,Gunna,1,15-05-2023,1096,83,95217315,60,210
20,La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,17-03-2023,2953,44,553634067,49,110
21,un x100to,"Bad Bunny, Grupo Frontera",2,17-04-2023,2876,40,505671438,41,205
22,Super Shy,NewJeans,1,07-07-2023,422,55,58255150,37,202
23,Flowers,Miley Cyrus,1,12-01-2023,12211,115,1316855716,300,215
24,Daylight,David Kushner,1,14-04-2023,3528,98,387570742,80,156
25,As It Was,Harry Styles,1,31-03-2022,23575,130,2513188493,403,198
26,Kill Bill,SZA,1,08-12-2022,8109,77,1163093654,183,162
27,Cupid - Twin Ver.,Fifty Fifty,1,24-02-2023,2942,77,496795686,91,212
28,What Was Made For? From The Motion Picture Barbie,Billie Eilish,1,13-07-2023,873,104,30546883,80,227
29,Classy 101,"Feid, Young Miko",2,31-03-2023,2610,40,335222234,43,100
30,Like Crazy,Jimin,1,24-03-2023,596,68,363369738,8,104
31,LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,22-06-2023,332,26,86444842,11,163
32,I Can See You ,Taylor Swift,1,07-07-2023,516,38,52135248,73,119
33,I Wanna Be Yours,Arctic Monkeys,1,01-01-2013,12859,110,1297026226,24,98
34,"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,31-05-2023,1313,40,200647221,17,152
35,Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,02-06-2023,1945,87,115364561,74,182
36,SABOR FRESA,Fuerza Regida,1,22-06-2023,250,26,78300654,16,149
37,Calm Down (with Selena Gomez),"R  ma, Selena G",2,25-03-2022,7112,77,899183384,202,119
38,MOJABI GHOST,"Tainy, Bad Bunny",2,29-06-2023,859,40,61245289,35,109
39,Last Night,Morgan Wallen,1,31-01-2023,2420,19,429829812,52,107
